,Premise,Hypothesis,Label,Split,Folder
58,The novel sprouts with a murder.,The final scene of the novel describes a murder.,contradiction,train,The novel sprouts with a murder.
59,"And then, as she had known they would, three hundred yards from their target the leading faeries, many of whom were leopards, shifted like a waterfall.","And then, as she had predicted, the faeries who were in the lead and many of whom were leopards, shifted smoothly and wondrously into their animal forms.",entailment,train,"And then, as she had known they would, three hundred yards from their target the leading faeries, many of whom were leopards, shifted like a waterfall."
60,Joe: that's because you're like a snail surfing on molasses.,Joe: that's because you're slow,entailment,train,Joe: that's because you're like a snail surfing on molasses.
61,"The lid was stuck shut, and my entire face felt like a submerged corpse 's.","My face felt warm and flat, and the lid was stuck shut.",contradiction,train,"The lid was stuck shut, and my entire face felt like a submerged corpse 's."
62,"In addition, the storm bombed the town.","Moreover, the storm caused a great deal of distress to the inhabitants of the town.",entailment,dev,"In addition, the storm bombed the town."
63,I think we should think about the roots of the problem.,I think we should avoid thinking about the roots of the problem.,contradiction,train,I think we should think about the roots of the problem.
64,"From the day you were born, you've been like a well-seasoned superhero.",You've been vulnerable since the day you were born.,contradiction,train,"From the day you were born, you've been like a well-seasoned superhero."
65,His devotion to his sick wife condemned him to a lonely existence.,He was so devoted to his sick wife that he earned praise for the lonely life.,contradiction,train,His devotion to his sick wife condemned him to a lonely existence.
66,The soldiers were devils.,The soldiers were angels.,contradiction,train,The soldiers were devils.
67,She felt as happy as a recent widow,She felt happy,contradiction,train,She felt as happy as a recent widow
68,The boss exploded when he heard of the resignation of the secretary.,The boss became outrageous when he heard of the resignation of the secretary.,entailment,train,The boss exploded when he heard of the resignation of the secretary.
69,David is a worm for what he did to Shelia.,David is a despicable person for what he did to Shelia.,entailment,train,David is a worm for what he did to Shelia.
70,Consumed by the thoughts that grew in the head.,Consumed by the thoughts that were in the head,entailment,train,Consumed by the thoughts that grew in the head.
71,The faculty meeting was a comedy show.,The faculty meeting was ridiculous.,entailment,train,The faculty meeting was a comedy show.
72,His offer was like a faint scent of something delicious trailing through the air.,His offer was so unappealing,contradiction,train,His offer was like a faint scent of something delicious trailing through the air.
73,My face was like an empty plate .,My face was blank .,entailment,train,My face was like an empty plate .
74,The company released him after many years of service.,The company fired him after many years of service.,entailment,dev,The company released him after many years of service.
75,He worked as hard as dead slug,He did not work hard,entailment,train,He worked as hard as dead slug
76,"The khan motioned widely towards alejo, like a kindergartner presenting his newest coloring page to his favorite teacher.","The khan motioned widely towards alejo, pleased",entailment,train,"The khan motioned widely towards alejo, like a kindergartner presenting his newest coloring page to his favorite teacher."
77,The company’s stock jumped more than five percent,The company's stock value increased. ,entailment,train,The company’s stock jumped more than five percent
78,The company’s stock jumped more than five percent,The company's stock value took a downward jump by percent. ,contradiction,train,The company’s stock jumped more than five percent
79,The company’s stock jumped more than five percent,The stock value is important for the company. ,neutral,train,The company’s stock jumped more than five percent
80,She is as smart as a rock.,She is very intelligent.,contradiction,train,She is as smart as a rock.
81,She was lost in her thoughts and memories,She payed little attentions to her memories and thoughts,contradiction,train,She was lost in her thoughts and memories
82,She was lost in her thoughts and memories,She was attentive and present to the conversation,contradiction,train,She was lost in her thoughts and memories
83,She was lost in her thoughts and memories,She was distracted by her thoughts and memories,entailment,train,She was lost in her thoughts and memories
84,She was lost in her thoughts and memories,She was thinking and intensely remembering,entailment,train,She was lost in her thoughts and memories
85,Meteors blazed across the atmosphere.,The impact of the meteorite creates a cloud of dust in the atmosphere which radiates all sorts of colors.,entailment,train,Meteors blazed across the atmosphere.
86,I really hope society wakes up soon.,I really hope people realize some things. ,entailment,train,I really hope society wakes up soon.
87,I really hope society wakes up soon.,There is nothing wrong with society. ,contradiction,train,I really hope society wakes up soon.
88,I really hope society wakes up soon.,It is night. ,neutral,train,I really hope society wakes up soon.
89,"His skin is unlike mine, I am like a polar bear.",I am black and his skin is a different color than mine.,contradiction,train,"His skin is unlike mine, I am like a polar bear."
90,"She wasn't especially tall, but the aura she gave off was like an unexploded bomb.","Even though she wasn't tall, her aura was powerful.",entailment,test,"She wasn't especially tall, but the aura she gave off was like an unexploded bomb."
91,His playing erected him as a Romantic.,His playing denounced him as a Romantic.,contradiction,dev,His playing erected him as a Romantic.
92,He was looking like a true rajput warrior .,He was looking underconfident.,contradiction,train,He was looking like a true rajput warrior .
93,But the skies are like a robin's egg.,But the skies are grey,contradiction,dev,But the skies are like a robin's egg.
94,You decline but the man is like a buzzing killer bee.,"You decline, the man is apathetic.",contradiction,train,You decline but the man is like a buzzing killer bee.
95,The employee swallows her anger.,The employee does not show her anger and continues as usual.,entailment,train,The employee swallows her anger.
96,"In the glass's reflection, her face was like a tapered flame .","In the mirror, her face looked wide and flushed.",contradiction,train,"In the glass's reflection, her face was like a tapered flame ."
97,Water flooded out of the can into the backpack.,Water leaked out of the can into the backpack.,entailment,test,Water flooded out of the can into the backpack.
98,I'm as honest as a used car salesman,I'm honest,contradiction,test,I'm as honest as a used car salesman
99,"The knocking on the door was more assertive now, more like a herald's declaration.",The knocking had become more hesitant and uncertain.,contradiction,train,"The knocking on the door was more assertive now, more like a herald's declaration."
100,Her body became like a partially full bag of grain.,Her body became rigid.,contradiction,train,Her body became like a partially full bag of grain.
101,The task of unraveling seemed impossible; it lay before pruett like an unfinished nightmare .,The task of unraveling seemed possible; it lay before pruett in a calming and straightforward way.,contradiction,train,The task of unraveling seemed impossible; it lay before pruett like an unfinished nightmare .
102,The notion of loving too much seemed like a real-life wuthering heights with heathcliff crying out his anguish to the windswept moors.,The notion of loving too much seemed cynical and unromantic,contradiction,train,The notion of loving too much seemed like a real-life wuthering heights with heathcliff crying out his anguish to the windswept moors.
103,The door seemed like a ring of assassins.,The door seemed dangerous,entailment,train,The door seemed like a ring of assassins.
104,Then they cried a sea of tears.,They were really disappointed and thus cried a lot.,entailment,train,Then they cried a sea of tears.
105,However the funding dried up in 2007.,Investments run out completely. ,entailment,test,However the funding dried up in 2007.
106,However the funding dried up in 2007.,They were financial secure even past 2007.,contradiction,test,However the funding dried up in 2007.
107,However the funding dried up in 2007.,It did not rain in 2007.,neutral,test,However the funding dried up in 2007.
108,You just started staring off into space and smiling like a clown shouldering an axe.,You just started staring off into space and smiling innocenty,contradiction,train,You just started staring off into space and smiling like a clown shouldering an axe.
109,I bet I am like a cherry.,I bet I am red.,entailment,test,I bet I am like a cherry.
110,The library grew back like a persistent garden.,The library grew back ugly,contradiction,train,The library grew back like a persistent garden.
111,During the conflict the seeds of peace were planted.,During the conflict the seeds of hostility were planted.,contradiction,dev,During the conflict the seeds of peace were planted.
112,Their initial icy glares had turned to restless agitation.,They looked at us in an almost hostile way. ,entailment,train,Their initial icy glares had turned to restless agitation.
113,Their initial icy glares had turned to restless agitation.,They seemed to like us from the start. ,contradiction,train,Their initial icy glares had turned to restless agitation.
114,Their initial icy glares had turned to restless agitation.,He has an eye made out of ice. ,neutral,train,Their initial icy glares had turned to restless agitation.
115,Black desert rained in iron silences.,Black desert uncovered in iron silences.,contradiction,train,Black desert rained in iron silences.
116,Without realizing it I began taking strides like a superannuated ballet-dancer .,I began taking strides so big it was practically leaping.,entailment,train,Without realizing it I began taking strides like a superannuated ballet-dancer .
117,Luck loves those that expect it.,Optimism is self fullfilling.,entailment,train,Luck loves those that expect it.
118,Luck loves those that expect it.,Expectaions are usually not met,contradiction,train,Luck loves those that expect it.
119,Luck loves those that expect it.,Luck is expected,neutral,train,Luck loves those that expect it.
120,He waited like a leopard poised to pounce,He waited impatiently,contradiction,test,He waited like a leopard poised to pounce
121,And his wishes served to  guide  him .,He guided his life by the principles he always wished for .,entailment,train,And his wishes served to  guide  him .
122,The captain was a tall and noble statue.,The captain was a respectable person.,entailment,dev,The captain was a tall and noble statue.
123,"In the dead of summer, in Ohio, the clothes felt like melting rubber.","In the dead of summer, in Ohio, the clothes felt hot and humid",entailment,train,"In the dead of summer, in Ohio, the clothes felt like melting rubber."
124,But he's much stronger than you and his ideas are like a train on another track.,"But his ideas are very similar to yours, and he's much stronger than you.",contradiction,dev,But he's much stronger than you and his ideas are like a train on another track.
125,Everything flowed to his glory.,Everything hindered to his glory.,contradiction,train,Everything flowed to his glory.
126,Whom fate has slapped with a weight of woes.,Whom fate has favored with a weight of blessings.,contradiction,test,Whom fate has slapped with a weight of woes.
127,"You say you're just like us, a flame-driven puppet; but ive been watching you, and you move like a ballet dancer, girl!","Even though you claim to be the same as us, puppets driven by flames, I've been watching you and you move much more clumsily.",contradiction,train,"You say you're just like us, a flame-driven puppet; but ive been watching you, and you move like a ballet dancer, girl!"
128,Countless marriages have survived initial problems.,Many marriages pull through difficult times. ,entailment,train,Countless marriages have survived initial problems.
129,Countless marriages have survived initial problems.,Initial problems in a marriage may be fateful. ,contradiction,train,Countless marriages have survived initial problems.
130,Countless marriages have survived initial problems.,All mariages encounter some problems.,neutral,train,Countless marriages have survived initial problems.
131,He downed three martinis before dinner.,He downed three martinis before dinner.,entailment,train,He downed three martinis before dinner.
132,For summer and his pleasures graced on thee.,For summer and his pleasures end on thee.,contradiction,train,For summer and his pleasures graced on thee.
133,Its like a hundred million fireflies dancing around just for us.,It is ugly,contradiction,dev,Its like a hundred million fireflies dancing around just for us.
134,That night she'd looked like a perfectly painted porcelain doll .,That night she'd looked exquisite .,entailment,train,That night she'd looked like a perfectly painted porcelain doll .
135,The great gold apples of light hang from the street’s long bough dripping their light on the faces that drift below.,The dead and withered apples  of light hang from the street’s long bough dripping their light on the faces that drift below.,contradiction,train,The great gold apples of light hang from the street’s long bough dripping their light on the faces that drift below.
136,His mind groped to make the connection.,his mind attempted to make the connection.,entailment,test,His mind groped to make the connection.
137,The hallway was as crowded as a private beach,The hallway was not crowded at all,entailment,dev,The hallway was as crowded as a private beach
138,he was feeling down hurt and sad.,he was flying high happy and joy.,contradiction,train,he was feeling down hurt and sad.
139,"He jerked his head, indicating to michael where to go, then backed up a couple of steps, his face like a funeral director's.","He looked glum as he gestured to Michael where to go, then took a few steps back.",entailment,train,"He jerked his head, indicating to michael where to go, then backed up a couple of steps, his face like a funeral director's."
140,As for Peleg he took it more like a philosopher.,"But then again, Peleg always has something very philosophical to say about every discussion.",entailment,train,As for Peleg he took it more like a philosopher.
141,He embraced the knowledge or beliefs of his tribe.,He held the knowledge or beliefs of his tribe.,entailment,dev,He embraced the knowledge or beliefs of his tribe.
142,"Though the distance I have to cover is short, it feels like crawling through the desert.","Even though the distance I have to cover is short, it feels like a short and easy journey.",contradiction,train,"Though the distance I have to cover is short, it feels like crawling through the desert."
143,And I can see it like a mountain creek .,And I can see it perfectly muddled and confused.,contradiction,train,And I can see it like a mountain creek .
144,Airports are swimming in money from passenger fees.,Airports make a lot of profit out of passenger fees. ,entailment,test,Airports are swimming in money from passenger fees.
145,Airports are swimming in money from passenger fees.,Airports are not profitinng off passenger fees. ,contradiction,test,Airports are swimming in money from passenger fees.
146,Airports are swimming in money from passenger fees.,Airports are swimming with people. ,neutral,test,Airports are swimming in money from passenger fees.
147,I let my body like a rag doll.,I held my body rigidly,contradiction,train,I let my body like a rag doll.
148,My lawyer is a shark.,"My lawyer is a kind, sensitive person.",contradiction,train,My lawyer is a shark.
149,"It seems like he's just really charismatic, until his demands become gradually like a megolamaniac's.","It seems like he's just really uncharismatic, until his demands become gradually more reasonable.",contradiction,dev,"It seems like he's just really charismatic, until his demands become gradually like a megolamaniac's."
150,That movie was as disturbing as puppies,That movie was disturbing,contradiction,train,That movie was as disturbing as puppies
151,The cold hollows her bones.,Her bones are chilled by the cold.,entailment,test,The cold hollows her bones.
152,I'm sharp as a pillow,I'm sharp,contradiction,train,I'm sharp as a pillow
153,Mitt Romney swept five primaries on Tuesday night.,Mitt Romney went well at the primaries. ,entailment,train,Mitt Romney swept five primaries on Tuesday night.
154,Mitt Romney swept five primaries on Tuesday night.,Mitt Romney swept over the primaries on Tuesday night. ,contradiction,train,Mitt Romney swept five primaries on Tuesday night.
155,Mitt Romney swept five primaries on Tuesday night.,Mitt Romney is the Republican nominnee,neutral,train,Mitt Romney swept five primaries on Tuesday night.
156,"It appeared from truth alone , the truth we live.","It seemed from truth alone , the truth we live.",entailment,train,"It appeared from truth alone , the truth we live."
157,His fist became like a rubber glove .,His fist became slick.,entailment,train,His fist became like a rubber glove .
158,The tale is as old as a newborn kitten,The tale is old.,contradiction,train,The tale is as old as a newborn kitten
159,The news hit me like a Mack truck.,The news hit me hard,entailment,train,The news hit me like a Mack truck.
160,When it rains in Tokyo the city becomes a sea of umbrellas.,Tokyo is filled with umbrellas when it rains.,entailment,train,When it rains in Tokyo the city becomes a sea of umbrellas.
161,When it rains in Tokyo the city becomes a sea of umbrellas.,When it rains in Tokyo the city becomes a sea and there are some umbrellas in it.,contradiction,train,When it rains in Tokyo the city becomes a sea of umbrellas.
162,When it rains in Tokyo the city becomes a sea of umbrellas.,When it rains in Tokyo the city becomes full of umbrellas.,entailment,train,When it rains in Tokyo the city becomes a sea of umbrellas.
163,When it rains in Tokyo the city becomes a sea of umbrellas.,When it rains in Tokyo you won't find umbrellas in it.,contradiction,train,When it rains in Tokyo the city becomes a sea of umbrellas.
164,"But sundays, around midnight, leading into the 9-5 workweek, the streets are like an alcoholics liquor cabinet.","The streets are always empty on Sundays around midnight, right before the workweek starts.",entailment,train,"But sundays, around midnight, leading into the 9-5 workweek, the streets are like an alcoholics liquor cabinet."
165,The little raindrops diving together stick upon my coat.,My coat is covered with little raindrops that fall together.,entailment,train,The little raindrops diving together stick upon my coat.
166,Time flies when you're having fun.,Time passes when you're having fun.,entailment,test,Time flies when you're having fun.
167,The only requirement is that you have to be receptive and become a dry and thirsty sponge.,You need to be open to learn any new knowledge that is communicated to you,entailment,train,The only requirement is that you have to be receptive and become a dry and thirsty sponge.
168,The only requirement is that you have to be receptive and become a dry and thirsty sponge.,You do not need to learn anything new,contradiction,train,The only requirement is that you have to be receptive and become a dry and thirsty sponge.
169,The only requirement is that you have to be receptive and become a dry and thirsty sponge.,He is in need for some water. ,neutral,train,The only requirement is that you have to be receptive and become a dry and thirsty sponge.
170,I feel like a train barreling of control.,I feel intact and undamaged,contradiction,train,I feel like a train barreling of control.
171,The flowers danced in the wind.,The flowers move to all directions under the powerful wind.,entailment,train,The flowers danced in the wind.
172,She was as emotional as a funeral director,She was not emotional,entailment,test,She was as emotional as a funeral director
173,We dug up some interesting facts.,We have researched hard and then eventually retrieved some interesting facts.,entailment,dev,We dug up some interesting facts.
174,With his war-club smote the doorways.,"With his war-club he avoided the doorways ,",contradiction,train,With his war-club smote the doorways.
175,I feel like a drab buffoon.,I feel immediately inferior .,entailment,train,I feel like a drab buffoon.
176,"It was obscene, but she was drawn to it, like a moth to a flame.","It was obscene, she felt disgusted by it.",contradiction,test,"It was obscene, but she was drawn to it, like a moth to a flame."
177,The things that wait in between the two are like Scylla and Charybdas.,The things that come in between the two are unpleasant,entailment,train,The things that wait in between the two are like Scylla and Charybdas.
178,You have a shiny goal in mind that is distracting you with its awesomeness.,You have an appealing goal. ,entailment,train,You have a shiny goal in mind that is distracting you with its awesomeness.
179,You have a shiny goal in mind that is distracting you with its awesomeness.,You are aimless. ,contradiction,train,You have a shiny goal in mind that is distracting you with its awesomeness.
180,You have a shiny goal in mind that is distracting you with its awesomeness.,Shiny items sell well. ,neutral,train,You have a shiny goal in mind that is distracting you with its awesomeness.
181,my love is a summer day,my feeling of love is cold and dark  like a summer day,contradiction,train,my love is a summer day
182,my love is a summer day,my feeling of love is hot and falls in july,contradiction,train,my love is a summer day
183,my love is a summer day,my feeling of love is pleasant and joyful,entailment,train,my love is a summer day
184,my love is a summer day,my feeling of love is very pleasant  like a summer day,entailment,train,my love is a summer day
185,The rooms communicated.,The rooms in the house are very close to each other and almost seem that they are connected.,entailment,train,The rooms communicated.
186,He's got muscles like a jellyfish,He's muscular,contradiction,train,He's got muscles like a jellyfish
187,All the hearts of men were  softened.,All the men were made kinder and gentler.,entailment,test,All the hearts of men were  softened.
188,The approaching car's headlights looked back at me.,The approaching car's headlights disregarded at me.,contradiction,test,The approaching car's headlights looked back at me.
189,"Before I could do or look at anything else, I noticed the chair behind the desk-black leather and looking like a football player's shoulders.",The first thing I noticed when I walked in the room was the black leather chair behind the desk- it was wide and comfortable looking.,entailment,train,"Before I could do or look at anything else, I noticed the chair behind the desk-black leather and looking like a football player's shoulders."
190,These rivers head from a mountain range in the himalayas.,These rivers come from a mountain range in the himalayas.,entailment,test,These rivers head from a mountain range in the himalayas.
191,Her relationships with family and friends are like puzzles with missing pieces.,Her relationships with family and friends are very easy.,contradiction,train,Her relationships with family and friends are like puzzles with missing pieces.
192,"Joanna, you disagree? Okay, shoot!","Joanna, you disagree? Oh... okay, no more questions.",contradiction,dev,"Joanna, you disagree? Okay, shoot!"
193,"Right next to her, pausanius himself sat like a punished child.",Pausanius was tied up and brooding right next to her.,entailment,train,"Right next to her, pausanius himself sat like a punished child."
194,"For centuries, the ruler has made life like a dreary prison.",The Tyrant has been making life miserable for centuries.,entailment,train,"For centuries, the ruler has made life like a dreary prison."
195,her smile was a blinding sun.,his smile was a horrid dark hole.,contradiction,train,her smile was a blinding sun.
196,All the water  flushed  with crimson !.,None of the water in the sink was red !.,contradiction,test,All the water  flushed  with crimson !.
197,Fame grows to the heroes.,Fame is so delusive for the heroes.,contradiction,train,Fame grows to the heroes.
198,She drowned her trouble in alcohol.,She has been living by avoiding alcohol.,contradiction,train,She drowned her trouble in alcohol.
199,"The day of the alumni interview, we were both like a tightrope walker with vertigo.",We were both jittery on the day of the alumni interview.,entailment,train,"The day of the alumni interview, we were both like a tightrope walker with vertigo."
200,The candidate torpedoed into his opponent mercilessly.,The candidate slammed into his opponent mercilessly.,entailment,train,The candidate torpedoed into his opponent mercilessly.
201,"‘ We 've had more paperwork , not less , since the trust took over , ’ Buzz said tartly .","We 've had more paperwork , not less , since the trust took over, Buzz said cheerfully .",contradiction,train,"‘ We 've had more paperwork , not less , since the trust took over , ’ Buzz said tartly ."
202,I miss swimming in her eyes and watching her.,I miss neglecting in her eyes and watching her.,contradiction,train,I miss swimming in her eyes and watching her.
203,He is as brave as a cow,he is brave.,contradiction,train,He is as brave as a cow
204,They win their parents over with a rose-tinted vision of the world which is decidedly reassuring .,They win their parents over with a contradictory pessimistic vision of the world which is decidedly reassuring .,contradiction,train,They win their parents over with a rose-tinted vision of the world which is decidedly reassuring .
205,"But times are hard, and silver bullets are like polished diamonds these days.","But times are hard, and silver bullets are expensive",entailment,train,"But times are hard, and silver bullets are like polished diamonds these days."
206,After 10 minutes your head becomes like spinning cotton candy.,Your head will become clear after 10 minutes.,contradiction,train,After 10 minutes your head becomes like spinning cotton candy.
207,"It hung in the sky, like a clean plate at the bottom of a scummy sink.","It hung in the sky, crescent-shaped and dim.",contradiction,train,"It hung in the sky, like a clean plate at the bottom of a scummy sink."
208,You wake one morning to find your entire family lying like gray slabs of cement.,You find your entire family lying unconscious one morning.,entailment,test,You wake one morning to find your entire family lying like gray slabs of cement.
209,Clarkdale is a sleepy little town that offers a lot.,Clarkdale has slower rhythm of life than New York City. ,entailment,train,Clarkdale is a sleepy little town that offers a lot.
210,Clarkdale is a sleepy little town that offers a lot.,Clarkdale has a very intense rhythm of life. ,contradiction,train,Clarkdale is a sleepy little town that offers a lot.
211,Clarkdale is a sleepy little town that offers a lot.,At Clarkdale night lasts longer than other cities in the US. ,neutral,train,Clarkdale is a sleepy little town that offers a lot.
212,People think the old man has a sour temper.,People think the old man has a warm cheerful temper.,contradiction,train,People think the old man has a sour temper.
213,The teapot shuddered as the water boiled.,The teapot soothed as the water boiled.,contradiction,train,The teapot shuddered as the water boiled.
214,This one speech could sink his candidacy.,This speach was not appreciated by the public. ,entailment,train,This one speech could sink his candidacy.
215,This one speech could sink his candidacy.,His speach sinked at the hearts of the public. ,contradiction,train,This one speech could sink his candidacy.
216,This one speech could sink his candidacy.,The candidate has not a chance of winning after this speach. ,neutral,train,This one speech could sink his candidacy.
217,The spasm twists her facial muscles.,The muscles on her face get straightens due to her spasm.,contradiction,test,The spasm twists her facial muscles.
218,Whom fate has yoked with a weight of woes.,A person who suffers a lot of problems.,entailment,train,Whom fate has yoked with a weight of woes.
219,"He knew tommy was alright, in love and like a clam in wet mud.","He knew that tommy was happy, in love, and doing well.",entailment,train,"He knew tommy was alright, in love and like a clam in wet mud."
220,Adam closed the front door and stood there for a moment as if he could not wrench himself away .,Adam closed the front door and stood there for a moment as if he could not pull himself away .,entailment,dev,Adam closed the front door and stood there for a moment as if he could not wrench himself away .
221,People were bolting out of the theater.,People were leisurely walking out of the theater.,contradiction,test,People were bolting out of the theater.
222,"You both have something important to say, but time is like a half-blink.","You both have something pressing to say, time is limited.",entailment,train,"You both have something important to say, but time is like a half-blink."
